path,label,split,capture_id,dataset,source_url
captures/benigntraffic_train.pcap,BenignTraffic,train,benigntraffic-session-train,CICIoT2023,
captures/benigntraffic_validation.pcap,BenignTraffic,validation,benigntraffic-session-validation,CICIoT2023,
captures/benigntraffic_test.pcap,BenignTraffic,test,benigntraffic-session-test,CICIoT2023,
captures/ddos_udp_flood_train.pcap,DDoS-UDP_Flood,train,ddos_udp_flood-session-train,CICIoT2023,
captures/ddos_udp_flood_validation.pcap,DDoS-UDP_Flood,validation,ddos_udp_flood-session-validation,CICIoT2023,
captures/ddos_udp_flood_test.pcap,DDoS-UDP_Flood,test,ddos_udp_flood-session-test,CICIoT2023,
captures/ddos_syn_flood_train.pcap,DDoS-SYN_Flood,train,ddos_syn_flood-session-train,CICIoT2023,
captures/ddos_syn_flood_validation.pcap,DDoS-SYN_Flood,validation,ddos_syn_flood-session-validation,CICIoT2023,
captures/ddos_syn_flood_test.pcap,DDoS-SYN_Flood,test,ddos_syn_flood-session-test,CICIoT2023,
captures/mirai_greeth_flood_train.pcap,Mirai-greeth_flood,train,mirai_greeth_flood-session-train,CICIoT2023,
captures/mirai_greeth_flood_validation.pcap,Mirai-greeth_flood,validation,mirai_greeth_flood-session-validation,CICIoT2023,
captures/mirai_greeth_flood_test.pcap,Mirai-greeth_flood,test,mirai_greeth_flood-session-test,CICIoT2023,
captures/recon_portscan_train.pcap,Recon-PortScan,train,recon_portscan-session-train,CICIoT2023,
captures/recon_portscan_validation.pcap,Recon-PortScan,validation,recon_portscan-session-validation,CICIoT2023,
captures/recon_portscan_test.pcap,Recon-PortScan,test,recon_portscan-session-test,CICIoT2023,
